Date,Close,daily_articles
2020-04-07,247.2539520263672,1
2020-04-08,255.5538330078125,1
2020-04-09,259.44268798828125,1
2020-04-13,257.073974609375,1
2020-04-15,259.0323791503906,1
2020-04-21,254.63064575195312,1
2020-04-22,260.2820129394531,3
2020-04-24,263.89111328125,1
2020-05-01,263.72320556640625,1
2020-05-07,268.2835693359375,2
2020-05-11,272.778564453125,2
2020-05-13,262.61346435546875,3
2020-05-18,275.1100769042969,1
2020-05-19,272.2842712402344,1
2020-05-20,276.90985107421875,3
2020-05-21,274.9979858398437,1
2020-05-22,275.520263671875,1
2020-05-26,278.9148864746094,2
2020-05-27,283.0647888183594,1
2020-05-28,282.5425720214844,2
2020-05-29,283.8016357421875,2
2020-06-01,284.9486694335937,1
2020-06-02,287.3081359863281,3
2020-06-03,291.1316223144531,1
2020-06-09,299.1611328125,2
2020-06-11,280.3417663574219,1
2020-06-12,283.6989440917969,1
2020-06-15,286.3475952148437,1
2020-06-16,291.8590393066406,2
2020-06-17,290.6466979980469,1
2020-06-19,289.096923828125,1
2020-06-22,290.9515686035156,1
2020-06-25,287.8886413574219,3
2020-06-26,281.0508117675781,2
2020-06-29,285.181640625,3
2020-06-30,288.83465576171875,3
2020-07-01,290.8578186035156,1
2020-07-02,292.45965576171875,1
2020-07-07,293.9114685058594,2
2020-07-08,296.1594543457031,1
2020-07-10,297.4802551269531,2
2020-07-13,294.90435791015625,1
2020-07-17,301.3487243652344,1
2020-07-20,303.7840576171875,2
2020-07-21,304.430419921875,2
2020-07-22,306.1632995605469,2
2020-07-23,302.5101928710937,1
2020-07-24,300.5619506835937,1
2020-07-28,300.8335876464844,1
2020-07-29,304.53338623046875,1
2020-07-31,305.84478759765625,1
2020-08-03,307.9710388183594,1
2020-08-10,314.3217163085937,2
2020-08-13,315.5018920898437,1
2020-08-17,316.5135803222656,2
2020-08-18,317.1972961425781,1
2020-08-19,315.8766174316406,1
2020-08-20,316.8601379394531,1
2020-08-24,321.20635986328125,2
2020-08-26,325.5619506835937,2
2020-08-27,326.2738037109375,1
2020-08-28,328.3812866210937,2
2020-09-01,330.2734375,1
2020-09-02,335.05047607421875,3
2020-09-03,323.5198669433594,1
2020-09-04,320.87847900390625,2
2020-09-08,312.11114501953125,2
2020-09-09,318.2745666503906,3
2020-09-10,312.74810791015625,2
2020-09-11,312.9073181152344,1
2020-09-14,317.02880859375,2
2020-09-15,318.6304626464844,1
2020-09-16,317.3659973144531,1
2020-09-17,314.5746459960937,1
2020-09-18,310.9530334472656,4
2020-09-21,307.4923400878906,2
2020-09-23,303.4201965332031,5
2020-09-24,304.22900390625,3
2020-09-25,309.1474609375,3
2020-09-28,314.2822265625,3
2020-09-29,312.570556640625,1
2020-09-30,314.9403991699219,3
2020-10-01,316.9623718261719,2
2020-10-02,313.9529724121094,2
2020-10-05,319.5203552246094,1
2020-10-06,314.97808837890625,1
2020-10-07,320.4608154296875,3
2020-10-08,323.3008728027344,5
2020-10-12,331.4356384277344,1
2020-10-13,329.2726745605469,1
2020-10-14,327.20367431640625,2
2020-10-16,326.6017761230469,1
2020-10-19,321.63629150390625,2
2020-10-20,322.9247131347656,3
2020-10-21,322.3133544921875,1
2020-10-22,324.0814208984375,1
2020-10-23,325.1817932128906,3
2020-10-26,319.1723937988281,1
2020-10-27,318.0720520019531,3
2020-10-28,307.2007141113281,3
2020-10-29,310.3229675292969,1
2020-11-02,310.5298767089844,1
2020-11-03,316.0125427246094,1
2020-11-04,323.0751953125,1
2020-11-05,329.37603759765625,1
2020-11-06,329.3008728027344,4
2020-11-09,333.438720703125,2
2020-11-18,335.0562438964844,1
2020-11-19,336.4669494628906,2
2020-11-20,334.162841796875,1
2020-11-23,336.1659545898437,2
2020-11-27,342.0059814453125,2
2020-11-30,340.49188232421875,1
2020-12-01,344.2160339355469,4
2020-12-03,344.8461303710937,2
2020-12-04,347.81793212890625,3
2020-12-07,347.1031799316406,1
2020-12-08,348.1188659667969,1
2020-12-11,344.47930908203125,3
2020-12-14,342.9371032714844,1
2020-12-15,347.5733947753906,3
2020-12-16,348.1188659667969,1
2020-12-18,348.667724609375,2
2020-12-21,347.42108154296875,4
2020-12-22,346.8354797363281,1
2020-12-23,347.1471862792969,1
2020-12-24,348.49774169921875,3
2020-12-29,350.8210754394531,2
2021-01-05,350.6982421875,2
2021-01-06,352.7948608398437,1
2021-01-07,358.0364990234375,2
2021-01-11,357.6493835449219,1
2021-01-12,357.72491455078125,1
2021-01-13,358.688232421875,1
2021-01-14,357.43212890625,1
2021-01-15,354.82550048828125,3
2021-01-20,362.5604553222656,2
2021-01-21,362.8909301757813,2
2021-01-22,361.6065368652344,1
2021-01-25,363.03265380859375,1
2021-01-26,362.4659729003906,2
2021-01-28,356.6482238769531,1
2021-01-29,349.50830078125,1
2021-02-01,355.32598876953125,2
2021-02-02,360.3504028320313,3
2021-02-03,360.6337585449219,1
2021-02-04,364.7326354980469,1
2021-02-05,366.1681823730469,1
2021-02-08,368.8125915527344,2
2021-02-09,368.5670166015625,3
2021-02-10,368.4065246582031,2
2021-02-11,369.00146484375,2
2021-02-12,370.82427978515625,2
2021-02-17,370.5882568359375,1
2021-02-19,368.3592224121094,2
2021-02-23,365.9698486328125,1
